8	16	32	2354	beijing	32.5	64.5	2017-01-02	23:45:12	2017-03-07 08:08:16
9	17	33	65	shanghai	32.5	64.5	2017-01-02	23:45:12	2017-03-07 08:08:16
10	18	34	66	gaungzhou	32.5	64.5	2017-01-02	23:45:12	2017-03-07 08:08:16
11	19	35	67	shengzhen	32.5	64.5	2017-01-02	23:45:12	2017-03-07 08:08:16
12	20	36	68	tianjing	32.5	64.5	2017-01-02	23:45:12	2017-03-07 08:08:16
13	21	37	9574	nanjing	32.5	64.5	2017-01-02	23:45:12	2017-03-07 08:08:16
14	22	38	4575	wuhan	32.5	64.5	2017-01-02	23:45:12	2017-03-07 08:08:16
15	23	39	71	jinan	32.5	64.5	2017-01-02	23:45:12	2017-03-07 08:08:16
16	24	40	72	lasa	32.5	64.5	2017-01-02	23:45:12	2017-03-07 08:08:16
17	25	41	73	taiyuan	32.5	64.5	2017-01-02	23:45:12	2017-03-07 08:08:16
